date,day_of_week,month,bus_riders,resident_students,lunch_meals,dinner_meals,bus_riders_1days_ago,lunch_meals_1days_ago,dinner_meals_1days_ago,bus_riders_2days_ago,lunch_meals_2days_ago,dinner_meals_2days_ago,bus_riders_3days_ago,lunch_meals_3days_ago,dinner_meals_3days_ago
2023-01-20,4,1,713,213,559,159,742.0,601.0,170.0,706.0,548.0,184.0,683.0,604.0,166.0
2023-01-22,6,1,813,272,694,173,713.0,559.0,159.0,742.0,601.0,170.0,706.0,548.0,184.0
2023-01-23,0,1,717,200,617,159,813.0,694.0,173.0,713.0,559.0,159.0,742.0,601.0,170.0
2023-01-24,1,1,727,227,749,204,717.0,617.0,159.0,813.0,694.0,173.0,713.0,559.0,159.0
2023-01-25,2,1,823,258,709,211,727.0,749.0,204.0,717.0,617.0,159.0,813.0,694.0,173.0
2023-01-26,3,1,749,241,658,202,823.0,709.0,211.0,727.0,749.0,204.0,717.0,617.0,159.0
2023-01-27,4,1,728,243,634,174,749.0,658.0,202.0,823.0,709.0,211.0,727.0,749.0,204.0
2023-01-29,6,1,764,221,648,148,728.0,634.0,174.0,749.0,658.0,202.0,823.0,709.0,211.0
2023-01-30,0,1,766,275,664,213,764.0,648.0,148.0,728.0,634.0,174.0,749.0,658.0,202.0
2023-01-31,1,1,787,237,670,181,766.0,664.0,213.0,764.0,648.0,148.0,728.0,634.0,174.0
2023-02-01,2,2,696,202,624,155,787.0,670.0,181.0,766.0,664.0,213.0,764.0,648.0,148.0
2023-02-02,3,2,743,252,648,208,696.0,624.0,155.0,787.0,670.0,181.0,766.0,664.0,213.0
2023-02-03,4,2,729,228,563,177,743.0,648.0,208.0,696.0,624.0,155.0,787.0,670.0,181.0
2023-02-05,6,2,789,216,679,155,729.0,563.0,177.0,743.0,648.0,208.0,696.0,624.0,155.0
2023-02-06,0,2,754,217,640,166,789.0,679.0,155.0,729.0,563.0,177.0,743.0,648.0,208.0
2023-02-07,1,2,855,251,749,208,754.0,640.0,166.0,789.0,679.0,155.0,729.0,563.0,177.0
2023-02-08,2,2,757,244,603,211,855.0,749.0,208.0,754.0,640.0,166.0,789.0,679.0,155.0
2023-02-09,3,2,735,219,588,212,757.0,603.0,211.0,855.0,749.0,208.0,754.0,640.0,166.0
2023-02-10,4,2,785,211,679,136,735.0,588.0,212.0,757.0,603.0,211.0,855.0,749.0,208.0
2023-02-12,6,2,724,220,603,149,785.0,679.0,136.0,735.0,588.0,212.0,757.0,603.0,211.0
2023-02-13,0,2,796,233,768,171,724.0,603.0,149.0,785.0,679.0,136.0,735.0,588.0,212.0
2023-02-14,1,2,694,237,604,216,796.0,768.0,171.0,724.0,603.0,149.0,785.0,679.0,136.0
2023-02-15,2,2,673,197,617,166,694.0,604.0,216.0,796.0,768.0,171.0,724.0,603.0,149.0
2023-02-16,3,2,771,215,691,156,673.0,617.0,166.0,694.0,604.0,216.0,796.0,768.0,171.0
2023-02-17,4,2,778,235,648,187,771.0,691.0,156.0,673.0,617.0,166.0,694.0,604.0,216.0
2023-02-19,6,2,839,203,773,146,778.0,648.0,187.0,771.0,691.0,156.0,673.0,617.0,166.0
2023-02-20,0,2,810,252,679,192,839.0,773.0,146.0,778.0,648.0,187.0,771.0,691.0,156.0
2023-02-21,1,2,783,224,668,192,810.0,679.0,192.0,839.0,773.0,146.0,778.0,648.0,187.0
2023-02-22,2,2,697,211,600,189,783.0,668.0,192.0,810.0,679.0,192.0,839.0,773.0,146.0
2023-02-23,3,2,718,219,626,194,697.0,600.0,189.0,783.0,668.0,192.0,810.0,679.0,192.0
2023-02-24,4,2,775,257,608,205,718.0,626.0,194.0,697.0,600.0,189.0,783.0,668.0,192.0
2023-02-26,6,2,890,262,826,189,775.0,608.0,205.0,718.0,626.0,194.0,697.0,600.0,189.0
2023-02-27,0,2,831,269,692,211,890.0,826.0,189.0,775.0,608.0,205.0,718.0,626.0,194.0
2023-02-28,1,2,710,222,607,183,831.0,692.0,211.0,890.0,826.0,189.0,775.0,608.0,205.0
2023-03-01,2,3,809,222,647,177,710.0,607.0,183.0,831.0,692.0,211.0,890.0,826.0,189.0
2023-03-02,3,3,754,193,670,154,809.0,647.0,177.0,710.0,607.0,183.0,831.0,692.0,211.0
2023-03-03,4,3,727,208,645,156,754.0,670.0,154.0,809.0,647.0,177.0,710.0,607.0,183.0
2023-03-05,6,3,854,275,715,169,727.0,645.0,156.0,754.0,670.0,154.0,809.0,647.0,177.0
2023-03-06,0,3,872,285,773,210,854.0,715.0,169.0,727.0,645.0,156.0,754.0,670.0,154.0
2023-03-07,1,3,840,258,703,215,872.0,773.0,210.0,854.0,715.0,169.0,727.0,645.0,156.0
2023-03-08,2,3,749,209,611,157,840.0,703.0,215.0,872.0,773.0,210.0,854.0,715.0,169.0
2023-03-09,3,3,788,242,638,198,749.0,611.0,157.0,840.0,703.0,215.0,872.0,773.0,210.0
2023-03-10,4,3,780,218,652,156,788.0,638.0,198.0,749.0,611.0,157.0,840.0,703.0,215.0
2023-03-12,6,3,913,279,841,199,780.0,652.0,156.0,788.0,638.0,198.0,749.0,611.0,157.0
2023-03-13,0,3,765,231,678,169,913.0,841.0,199.0,780.0,652.0,156.0,788.0,638.0,198.0
2023-03-14,1,3,817,251,668,235,765.0,678.0,169.0,913.0,841.0,199.0,780.0,652.0,156.0
2023-03-15,2,3,765,210,634,186,817.0,668.0,235.0,765.0,678.0,169.0,913.0,841.0,199.0
2023-03-16,3,3,702,202,575,170,765.0,634.0,186.0,817.0,668.0,235.0,765.0,678.0,169.0
2023-03-17,4,3,806,222,668,146,702.0,575.0,170.0,765.0,634.0,186.0,817.0,668.0,235.0
2023-03-19,6,3,894,276,819,215,806.0,668.0,146.0,702.0,575.0,170.0,765.0,634.0,186.0
2023-03-20,0,3,799,263,654,186,894.0,819.0,215.0,806.0,668.0,146.0,702.0,575.0,170.0
2023-03-21,1,3,857,285,762,236,799.0,654.0,186.0,894.0,819.0,215.0,806.0,668.0,146.0
2023-03-22,2,3,813,253,730,201,857.0,762.0,236.0,799.0,654.0,186.0,894.0,819.0,215.0
2023-03-23,3,3,796,227,755,179,813.0,730.0,201.0,857.0,762.0,236.0,799.0,654.0,186.0
2023-03-24,4,3,825,264,679,171,796.0,755.0,179.0,813.0,730.0,201.0,857.0,762.0,236.0
2023-03-26,6,3,930,285,837,227,825.0,679.0,171.0,796.0,755.0,179.0,813.0,730.0,201.0
2023-03-27,0,3,843,254,716,197,930.0,837.0,227.0,825.0,679.0,171.0,796.0,755.0,179.0
2023-03-28,1,3,878,247,730,210,843.0,716.0,197.0,930.0,837.0,227.0,825.0,679.0,171.0
2023-03-29,2,3,689,224,560,178,878.0,730.0,210.0,843.0,716.0,197.0,930.0,837.0,227.0
2023-03-30,3,3,831,244,699,212,689.0,560.0,178.0,878.0,730.0,210.0,843.0,716.0,197.0
2023-03-31,4,3,754,214,623,161,831.0,699.0,212.0,689.0,560.0,178.0,878.0,730.0,210.0
2023-04-02,6,4,838,248,710,176,754.0,623.0,161.0,831.0,699.0,212.0,689.0,560.0,178.0
2023-04-03,0,4,812,213,718,182,838.0,710.0,176.0,754.0,623.0,161.0,831.0,699.0,212.0
2023-04-04,1,4,716,198,615,176,812.0,718.0,182.0,838.0,710.0,176.0,754.0,623.0,161.0
2023-04-05,2,4,800,241,677,211,716.0,615.0,176.0,812.0,718.0,182.0,838.0,710.0,176.0
2023-04-06,3,4,823,256,687,202,800.0,677.0,211.0,716.0,615.0,176.0,812.0,718.0,182.0
2023-04-07,4,4,847,254,694,187,823.0,687.0,202.0,800.0,677.0,211.0,716.0,615.0,176.0
2023-04-09,6,4,860,261,756,193,847.0,694.0,187.0,823.0,687.0,202.0,800.0,677.0,211.0
2023-04-10,0,4,786,235,652,154,860.0,756.0,193.0,847.0,694.0,187.0,823.0,687.0,202.0
2023-04-11,1,4,804,225,703,191,786.0,652.0,154.0,860.0,756.0,193.0,847.0,694.0,187.0
2023-04-12,2,4,851,206,730,162,804.0,703.0,191.0,786.0,652.0,154.0,860.0,756.0,193.0
2023-04-13,3,4,814,253,744,215,851.0,730.0,162.0,804.0,703.0,191.0,786.0,652.0,154.0
2023-04-14,4,4,750,227,607,156,814.0,744.0,215.0,851.0,730.0,162.0,804.0,703.0,191.0
2023-04-16,6,4,875,255,855,170,750.0,607.0,156.0,814.0,744.0,215.0,851.0,730.0,162.0
2023-04-17,0,4,863,266,781,206,875.0,855.0,170.0,750.0,607.0,156.0,814.0,744.0,215.0
2023-04-18,1,4,864,298,707,249,863.0,781.0,206.0,875.0,855.0,170.0,750.0,607.0,156.0
2023-04-19,2,4,750,233,654,197,864.0,707.0,249.0,863.0,781.0,206.0,875.0,855.0,170.0
2023-04-20,3,4,812,240,668,203,750.0,654.0,197.0,864.0,707.0,249.0,863.0,781.0,206.0
2023-04-21,4,4,752,225,629,146,812.0,668.0,203.0,750.0,654.0,197.0,864.0,707.0,249.0
2023-04-23,6,4,768,262,675,171,752.0,629.0,146.0,812.0,668.0,203.0,750.0,654.0,197.0
2023-04-24,0,4,808,239,744,168,768.0,675.0,171.0,752.0,629.0,146.0,812.0,668.0,203.0
2023-04-25,1,4,840,213,705,192,808.0,744.0,168.0,768.0,675.0,171.0,752.0,629.0,146.0
2023-04-26,2,4,788,247,750,236,840.0,705.0,192.0,808.0,744.0,168.0,768.0,675.0,171.0
2023-04-27,3,4,814,234,690,203,788.0,750.0,236.0,840.0,705.0,192.0,808.0,744.0,168.0
2023-04-28,4,4,681,210,544,161,814.0,690.0,203.0,788.0,750.0,236.0,840.0,705.0,192.0
2023-04-30,6,4,860,259,736,198,681.0,544.0,161.0,814.0,690.0,203.0,788.0,750.0,236.0
2023-05-02,1,5,805,252,720,229,860.0,736.0,198.0,681.0,544.0,161.0,814.0,690.0,203.0
2023-05-03,2,5,770,242,668,221,805.0,720.0,229.0,860.0,736.0,198.0,681.0,544.0,161.0
2023-05-04,3,5,788,240,640,223,770.0,668.0,221.0,805.0,720.0,229.0,860.0,736.0,198.0
2023-05-05,4,5,815,279,652,222,788.0,640.0,223.0,770.0,668.0,221.0,805.0,720.0,229.0
2023-05-07,6,5,954,315,854,207,815.0,652.0,222.0,788.0,640.0,223.0,770.0,668.0,221.0
2023-05-08,0,5,850,261,712,170,954.0,854.0,207.0,815.0,652.0,222.0,788.0,640.0,223.0
2023-05-09,1,5,827,244,704,191,850.0,712.0,170.0,954.0,854.0,207.0,815.0,652.0,222.0
2023-05-10,2,5,821,261,693,225,827.0,704.0,191.0,850.0,712.0,170.0,954.0,854.0,207.0
2023-05-11,3,5,709,219,611,170,821.0,693.0,225.0,827.0,704.0,191.0,850.0,712.0,170.0
2023-05-12,4,5,775,240,644,172,709.0,611.0,170.0,821.0,693.0,225.0,827.0,704.0,191.0
2023-05-14,6,5,875,284,770,231,775.0,644.0,172.0,709.0,611.0,170.0,821.0,693.0,225.0
2023-05-15,0,5,931,299,825,197,875.0,770.0,231.0,775.0,644.0,172.0,709.0,611.0,170.0
2023-05-16,1,5,808,263,711,220,931.0,825.0,197.0,875.0,770.0,231.0,775.0,644.0,172.0
2023-05-17,2,5,834,249,703,201,808.0,711.0,220.0,931.0,825.0,197.0,875.0,770.0,231.0
2023-05-18,3,5,820,273,698,219,834.0,703.0,201.0,808.0,711.0,220.0,931.0,825.0,197.0
2023-05-19,4,5,742,206,605,161,820.0,698.0,219.0,834.0,703.0,201.0,808.0,711.0,220.0
2023-05-21,6,5,905,245,766,180,742.0,605.0,161.0,820.0,698.0,219.0,834.0,703.0,201.0
2023-05-22,0,5,884,258,747,166,905.0,766.0,180.0,742.0,605.0,161.0,820.0,698.0,219.0
2023-05-23,1,5,860,228,777,176,884.0,747.0,166.0,905.0,766.0,180.0,742.0,605.0,161.0
2023-05-24,2,5,764,248,653,200,860.0,777.0,176.0,884.0,747.0,166.0,905.0,766.0,180.0
2023-05-25,3,5,857,259,702,241,764.0,653.0,200.0,860.0,777.0,176.0,884.0,747.0,166.0
2023-05-26,4,5,707,229,566,181,857.0,702.0,241.0,764.0,653.0,200.0,860.0,777.0,176.0
2023-05-28,6,5,893,287,768,202,707.0,566.0,181.0,857.0,702.0,241.0,764.0,653.0,200.0
2023-05-29,0,5,894,294,766,195,893.0,768.0,202.0,707.0,566.0,181.0,857.0,702.0,241.0
2023-05-30,1,5,777,256,682,220,894.0,766.0,195.0,893.0,768.0,202.0,707.0,566.0,181.0
2023-05-31,2,5,764,238,677,209,777.0,682.0,220.0,894.0,766.0,195.0,893.0,768.0,202.0
2023-06-01,3,6,805,235,702,180,764.0,677.0,209.0,777.0,682.0,220.0,894.0,766.0,195.0
2023-06-02,4,6,780,239,642,158,805.0,702.0,180.0,764.0,677.0,209.0,777.0,682.0,220.0
2023-06-04,6,6,812,236,675,160,780.0,642.0,158.0,805.0,702.0,180.0,764.0,677.0,209.0
2023-06-05,0,6,851,262,710,165,812.0,675.0,160.0,780.0,642.0,158.0,805.0,702.0,180.0
2023-06-06,1,6,759,184,649,150,851.0,710.0,165.0,812.0,675.0,160.0,780.0,642.0,158.0
2023-06-07,2,6,795,245,685,201,759.0,649.0,150.0,851.0,710.0,165.0,812.0,675.0,160.0
2023-06-08,3,6,728,204,592,167,795.0,685.0,201.0,759.0,649.0,150.0,851.0,710.0,165.0
2023-06-09,4,6,850,261,689,215,728.0,592.0,167.0,795.0,685.0,201.0,759.0,649.0,150.0
2023-06-11,6,6,818,205,741,146,850.0,689.0,215.0,728.0,592.0,167.0,795.0,685.0,201.0
2023-06-12,0,6,801,241,659,174,818.0,741.0,146.0,850.0,689.0,215.0,728.0,592.0,167.0
2023-06-13,1,6,842,265,692,207,801.0,659.0,174.0,818.0,741.0,146.0,850.0,689.0,215.0
2023-06-14,2,6,731,254,585,217,842.0,692.0,207.0,801.0,659.0,174.0,818.0,741.0,146.0
2023-06-15,3,6,782,244,646,190,731.0,585.0,217.0,842.0,692.0,207.0,801.0,659.0,174.0
2023-06-16,4,6,821,247,665,187,782.0,646.0,190.0,731.0,585.0,217.0,842.0,692.0,207.0
2023-06-18,6,6,752,224,643,161,821.0,665.0,187.0,782.0,646.0,190.0,731.0,585.0,217.0
2023-06-19,0,6,804,255,742,178,752.0,643.0,161.0,821.0,665.0,187.0,782.0,646.0,190.0
2023-06-20,1,6,809,239,822,188,804.0,742.0,178.0,752.0,643.0,161.0,821.0,665.0,187.0
2023-06-21,2,6,841,238,717,221,809.0,822.0,188.0,804.0,742.0,178.0,752.0,643.0,161.0
2023-06-22,3,6,716,210,567,173,841.0,717.0,221.0,809.0,822.0,188.0,804.0,742.0,178.0
2023-06-23,4,6,759,216,618,196,716.0,567.0,173.0,841.0,717.0,221.0,809.0,822.0,188.0
2023-06-25,6,6,862,251,788,152,759.0,618.0,196.0,716.0,567.0,173.0,841.0,717.0,221.0
2023-06-26,0,6,843,256,780,205,862.0,788.0,152.0,759.0,618.0,196.0,716.0,567.0,173.0
2023-06-27,1,6,806,242,713,217,843.0,780.0,205.0,862.0,788.0,152.0,759.0,618.0,196.0
2023-06-28,2,6,813,254,682,210,806.0,713.0,217.0,843.0,780.0,205.0,862.0,788.0,152.0
2023-06-29,3,6,743,208,633,164,813.0,682.0,210.0,806.0,713.0,217.0,843.0,780.0,205.0
2023-06-30,4,6,771,234,632,192,743.0,633.0,164.0,813.0,682.0,210.0,806.0,713.0,217.0
2023-07-02,6,7,881,245,786,157,771.0,632.0,192.0,743.0,633.0,164.0,813.0,682.0,210.0
2023-07-03,0,7,768,226,709,179,881.0,786.0,157.0,771.0,632.0,192.0,743.0,633.0,164.0
2023-07-04,1,7,934,286,794,268,768.0,709.0,179.0,881.0,786.0,157.0,771.0,632.0,192.0
2023-07-06,3,7,793,243,697,200,934.0,794.0,268.0,768.0,709.0,179.0,881.0,786.0,157.0
2023-07-07,4,7,702,228,575,177,793.0,697.0,200.0,934.0,794.0,268.0,768.0,709.0,179.0
2023-07-10,0,7,874,247,754,180,702.0,575.0,177.0,793.0,697.0,200.0,934.0,794.0,268.0
2023-07-11,1,7,746,247,634,191,874.0,754.0,180.0,702.0,575.0,177.0,793.0,697.0,200.0
2023-07-12,2,7,849,275,731,241,746.0,634.0,191.0,874.0,754.0,180.0,702.0,575.0,177.0
2023-07-13,3,7,848,274,729,221,849.0,731.0,241.0,746.0,634.0,191.0,874.0,754.0,180.0
2023-07-14,4,7,721,223,610,152,848.0,729.0,221.0,849.0,731.0,241.0,746.0,634.0,191.0
2023-07-16,6,7,878,245,814,177,721.0,610.0,152.0,848.0,729.0,221.0,849.0,731.0,241.0
2023-07-17,0,7,838,254,747,198,878.0,814.0,177.0,721.0,610.0,152.0,848.0,729.0,221.0
2023-07-18,1,7,846,258,744,217,838.0,747.0,198.0,878.0,814.0,177.0,721.0,610.0,152.0
2023-07-20,3,7,818,229,690,202,846.0,744.0,217.0,838.0,747.0,198.0,878.0,814.0,177.0
2023-07-21,4,7,720,213,640,157,818.0,690.0,202.0,846.0,744.0,217.0,838.0,747.0,198.0
2023-07-23,6,7,794,244,710,167,720.0,640.0,157.0,818.0,690.0,202.0,846.0,744.0,217.0
2023-07-24,0,7,776,218,700,176,794.0,710.0,167.0,720.0,640.0,157.0,818.0,690.0,202.0
2023-07-25,1,7,763,223,635,188,776.0,700.0,176.0,794.0,710.0,167.0,720.0,640.0,157.0
2023-07-26,2,7,783,247,627,239,763.0,635.0,188.0,776.0,700.0,176.0,794.0,710.0,167.0
2023-07-27,3,7,768,217,654,189,783.0,627.0,239.0,763.0,635.0,188.0,776.0,700.0,176.0
2023-07-28,4,7,799,251,708,179,768.0,654.0,189.0,783.0,627.0,239.0,763.0,635.0,188.0
2023-07-30,6,7,878,264,853,187,799.0,708.0,179.0,768.0,654.0,189.0,783.0,627.0,239.0
2023-07-31,0,7,807,252,767,180,878.0,853.0,187.0,799.0,708.0,179.0,768.0,654.0,189.0
2023-08-01,1,8,868,228,769,196,807.0,767.0,180.0,878.0,853.0,187.0,799.0,708.0,179.0
2023-08-02,2,8,758,245,684,204,868.0,769.0,196.0,807.0,767.0,180.0,878.0,853.0,187.0
2023-08-03,3,8,901,241,815,197,758.0,684.0,204.0,868.0,769.0,196.0,807.0,767.0,180.0
2023-08-04,4,8,768,231,668,172,901.0,815.0,197.0,758.0,684.0,204.0,868.0,769.0,196.0
2023-08-06,6,8,729,216,628,150,768.0,668.0,172.0,901.0,815.0,197.0,758.0,684.0,204.0
2023-08-07,0,8,742,201,643,141,729.0,628.0,150.0,768.0,668.0,172.0,901.0,815.0,197.0
2023-08-08,1,8,801,229,681,186,742.0,643.0,141.0,729.0,628.0,150.0,768.0,668.0,172.0
2023-08-09,2,8,778,204,663,165,801.0,681.0,186.0,742.0,643.0,141.0,729.0,628.0,150.0
2023-08-10,3,8,782,231,649,182,778.0,663.0,165.0,801.0,681.0,186.0,742.0,643.0,141.0
2023-08-11,4,8,748,252,611,183,782.0,649.0,182.0,778.0,663.0,165.0,801.0,681.0,186.0
2023-08-13,6,8,833,239,687,148,748.0,611.0,183.0,782.0,649.0,182.0,778.0,663.0,165.0
2023-08-14,0,8,748,200,670,151,833.0,687.0,148.0,748.0,611.0,183.0,782.0,649.0,182.0
2023-08-15,1,8,709,203,604,163,748.0,670.0,151.0,833.0,687.0,148.0,748.0,611.0,183.0
2023-08-16,2,8,757,223,621,195,709.0,604.0,163.0,748.0,670.0,151.0,833.0,687.0,148.0
2023-08-17,3,8,800,237,645,218,757.0,621.0,195.0,709.0,604.0,163.0,748.0,670.0,151.0
2023-08-18,4,8,752,228,633,164,800.0,645.0,218.0,757.0,621.0,195.0,709.0,604.0,163.0
2023-08-20,6,8,729,223,642,144,752.0,633.0,164.0,800.0,645.0,218.0,757.0,621.0,195.0
2023-08-21,0,8,786,233,639,151,729.0,642.0,144.0,752.0,633.0,164.0,800.0,645.0,218.0
2023-08-22,1,8,774,243,688,211,786.0,639.0,151.0,729.0,642.0,144.0,752.0,633.0,164.0
2023-08-23,2,8,719,198,630,165,774.0,688.0,211.0,786.0,639.0,151.0,729.0,642.0,144.0
2023-08-24,3,8,770,253,653,213,719.0,630.0,165.0,774.0,688.0,211.0,786.0,639.0,151.0
2023-08-25,4,8,726,229,557,189,770.0,653.0,213.0,719.0,630.0,165.0,774.0,688.0,211.0
2023-08-27,6,8,737,232,624,169,726.0,557.0,189.0,770.0,653.0,213.0,719.0,630.0,165.0
2023-08-28,0,8,809,227,772,151,737.0,624.0,169.0,726.0,557.0,189.0,770.0,653.0,213.0
2023-08-29,1,8,780,252,696,199,809.0,772.0,151.0,737.0,624.0,169.0,726.0,557.0,189.0
2023-08-30,2,8,797,269,666,222,780.0,696.0,199.0,809.0,772.0,151.0,737.0,624.0,169.0
2023-08-31,3,8,780,233,686,198,797.0,666.0,222.0,780.0,696.0,199.0,809.0,772.0,151.0
2023-09-01,4,9,683,201,592,149,780.0,686.0,198.0,797.0,666.0,222.0,780.0,696.0,199.0
2023-09-03,6,9,734,223,671,160,683.0,592.0,149.0,780.0,686.0,198.0,797.0,666.0,222.0
2023-09-04,0,9,813,242,718,189,734.0,671.0,160.0,683.0,592.0,149.0,780.0,686.0,198.0
2023-09-05,1,9,763,197,692,169,813.0,718.0,189.0,734.0,671.0,160.0,683.0,592.0,149.0
2023-09-06,2,9,771,214,635,180,763.0,692.0,169.0,813.0,718.0,189.0,734.0,671.0,160.0
2023-09-07,3,9,922,267,776,228,771.0,635.0,180.0,763.0,692.0,169.0,813.0,718.0,189.0
2023-09-08,4,9,742,220,583,137,922.0,776.0,228.0,771.0,635.0,180.0,763.0,692.0,169.0
2023-09-10,6,9,862,253,766,188,742.0,583.0,137.0,922.0,776.0,228.0,771.0,635.0,180.0
2023-09-11,0,9,809,235,737,158,862.0,766.0,188.0,742.0,583.0,137.0,922.0,776.0,228.0
2023-09-12,1,9,800,243,694,212,809.0,737.0,158.0,862.0,766.0,188.0,742.0,583.0,137.0
2023-09-13,2,9,761,232,637,189,800.0,694.0,212.0,809.0,737.0,158.0,862.0,766.0,188.0
2023-09-14,3,9,769,244,654,202,761.0,637.0,189.0,800.0,694.0,212.0,809.0,737.0,158.0
2023-09-15,4,9,658,174,564,136,769.0,654.0,202.0,761.0,637.0,189.0,800.0,694.0,212.0
2023-09-17,6,9,792,226,646,193,658.0,564.0,136.0,769.0,654.0,202.0,761.0,637.0,189.0
2023-09-18,0,9,754,225,662,173,792.0,646.0,193.0,658.0,564.0,136.0,769.0,654.0,202.0
2023-09-19,1,9,754,248,643,208,754.0,662.0,173.0,792.0,646.0,193.0,658.0,564.0,136.0
2023-09-20,2,9,833,259,634,245,754.0,643.0,208.0,754.0,662.0,173.0,792.0,646.0,193.0
2023-09-21,3,9,619,182,505,154,833.0,634.0,245.0,754.0,643.0,208.0,754.0,662.0,173.0
2023-09-22,4,9,708,203,598,152,619.0,505.0,154.0,833.0,634.0,245.0,754.0,643.0,208.0
2023-09-24,6,9,679,215,608,158,708.0,598.0,152.0,619.0,505.0,154.0,833.0,634.0,245.0
2023-09-25,0,9,721,226,652,172,679.0,608.0,158.0,708.0,598.0,152.0,619.0,505.0,154.0
2023-09-26,1,9,781,251,667,197,721.0,652.0,172.0,679.0,608.0,158.0,708.0,598.0,152.0
2023-09-28,3,9,733,221,612,162,781.0,667.0,197.0,721.0,652.0,172.0,679.0,608.0,158.0
2023-09-29,4,9,647,196,574,156,733.0,612.0,162.0,781.0,667.0,197.0,721.0,652.0,172.0
2023-10-01,6,10,752,210,644,155,647.0,574.0,156.0,733.0,612.0,162.0,781.0,667.0,197.0
2023-10-02,0,10,755,223,621,165,752.0,644.0,155.0,647.0,574.0,156.0,733.0,612.0,162.0
2023-10-03,1,10,714,190,639,132,755.0,621.0,165.0,752.0,644.0,155.0,647.0,574.0,156.0
2023-10-04,2,10,732,222,607,190,714.0,639.0,132.0,755.0,621.0,165.0,752.0,644.0,155.0
2023-10-05,3,10,710,224,608,207,732.0,607.0,190.0,714.0,639.0,132.0,755.0,621.0,165.0
2023-10-06,4,10,677,240,554,162,710.0,608.0,207.0,732.0,607.0,190.0,714.0,639.0,132.0
2023-10-08,6,10,862,247,758,168,677.0,554.0,162.0,710.0,608.0,207.0,732.0,607.0,190.0
2023-10-09,0,10,777,235,655,189,862.0,758.0,168.0,677.0,554.0,162.0,710.0,608.0,207.0
2023-10-10,1,10,650,204,549,176,777.0,655.0,189.0,862.0,758.0,168.0,677.0,554.0,162.0
2023-10-11,2,10,727,220,613,202,650.0,549.0,176.0,777.0,655.0,189.0,862.0,758.0,168.0
2023-10-12,3,10,692,173,578,148,727.0,613.0,202.0,650.0,549.0,176.0,777.0,655.0,189.0
2023-10-13,4,10,787,223,647,178,692.0,578.0,148.0,727.0,613.0,202.0,650.0,549.0,176.0
2023-10-15,6,10,684,199,604,139,787.0,647.0,178.0,692.0,578.0,148.0,727.0,613.0,202.0
2023-10-16,0,10,721,224,596,165,684.0,604.0,139.0,787.0,647.0,178.0,692.0,578.0,148.0
2023-10-17,1,10,755,245,642,215,721.0,596.0,165.0,684.0,604.0,139.0,787.0,647.0,178.0
2023-10-18,2,10,750,207,631,179,755.0,642.0,215.0,721.0,596.0,165.0,684.0,604.0,139.0
2023-10-19,3,10,649,185,537,145,750.0,631.0,179.0,755.0,642.0,215.0,721.0,596.0,165.0
2023-10-20,4,10,692,223,599,158,649.0,537.0,145.0,750.0,631.0,179.0,755.0,642.0,215.0
2023-10-22,6,10,754,212,669,129,692.0,599.0,158.0,649.0,537.0,145.0,750.0,631.0,179.0
